id,name,accuracy,power,type,pp,effect_chance,priority,damage_class,generation_introduced,description,short_description,category
1,pound,100.0,40.0,normal,35,,0,physical,generation-i,Inflicts regular damage.,Inflicts regular damage with no additional effect.,
2,karate-chop,100.0,50.0,fighting,25,,0,physical,generation-i,Inflicts regular damage.  User’s critical hit rate is one level higher when using this move.,Has an increased chance for a critical hit.,
3,double-slap,85.0,15.0,normal,10,,0,physical,generation-i,"Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",Hits 2-5 times in one turn.,
4,comet-punch,85.0,18.0,normal,15,,0,physical,generation-i,"Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",Hits 2-5 times in one turn.,punching
5,mega-punch,85.0,80.0,normal,20,,0,physical,generation-i,Inflicts regular damage.,Inflicts regular damage with no additional effect.,punching
6,pay-day,100.0,40.0,normal,20,,0,physical,generation-i,"Inflicts regular damage.  After the battle ends, the winner receives five times the user’s level in extra money for each time this move was used.",Scatters money on the ground worth five times the user’s level.,
7,fire-punch,100.0,75.0,fire,15,10.0,0,physical,generation-i,Inflicts regular damage.  Has a 10% chance to burn the target.,Has a 10% chance to burn the target.,punching
8,ice-punch,100.0,75.0,ice,15,10.0,0,physical,generation-i,Inflicts regular damage.  Has a 10% chance to freeze the target.,Has a 10% chance to freeze the target.,punching
9,thunder-punch,100.0,75.0,electric,15,10.0,0,physical,generation-i,Inflicts regular damage.  Has a 10% chance to paralyze the target.,Has a 10% chance to paralyze the target.,punching
10,scratch,100.0,40.0,normal,35,,0,physical,generation-i,Inflicts regular damage.,Inflicts regular damage with no additional effect.,
11,vice-grip,100.0,55.0,normal,30,,0,physical,generation-i,Inflicts regular damage.,Inflicts regular damage with no additional effect.,
12,guillotine,30.0,,normal,5,,0,physical,generation-i,"Inflicts damage equal to the target’s max HP.  Ignores accuracy and evasion modifiers.  This move’s accuracy is 30% plus 1% for each level the user is higher than the target.  If the user is a lower level than the target, this move will fail.

Because this move inflicts a specific and finite amount of damage, endure still prevents the target from fainting.

The effects of lock on, mind reader, and no guard still apply, as long as the user is equal or higher level than the target.  However, they will not give this move a chance to break through detect or protect.",Causes a one-hit KO.,
13,razor-wind,100.0,80.0,normal,10,,0,special,generation-i,"Inflicts regular damage.  User’s critical hit rate is one level higher when using this move.  User charges for one turn before attacking.

This move cannot be selected by sleep talk.",Requires a turn to charge before attacking.,
14,swords-dance,,,normal,20,,0,status,generation-i,Raises the user’s Attack by two stages.,Raises the user’s Attack by two stages.,dance
15,cut,95.0,50.0,normal,30,,0,physical,generation-i,Inflicts regular damage.,Inflicts regular damage with no additional effect.,slicing
16,gust,100.0,40.0,flying,35,,0,special,generation-i,"Inflicts regular damage.

If the target is under the effect of bounce, fly, or sky drop, this move will hit with double power.",Inflicts regular damage and can hit Pokémon in the air.,wind
17,wing-attack,100.0,60.0,flying,35,,0,physical,generation-i,Inflicts regular damage.,Inflicts regular damage with no additional effect.,
18,whirlwind,,,normal,20,,-6,status,generation-i,"Switches the target out for another of its trainer’s Pokémon selected at random.  Wild battles end immediately.

Doesn’t affect Pokémon with suction cups or under the effect of ingrain.",Immediately ends wild battles.  Forces trainers to switch Pokémon.,wind
19,fly,95.0,90.0,flying,15,,0,physical,generation-i,"Inflicts regular damage.  User flies high into the air for one turn, becoming immune to attack, and hits on the second turn.

During the immune turn, gust, hurricane, sky uppercut, smack down, thunder, twister, and whirlwind still hit the user normally.  gust and twister also have double power against the user.

The damage from hail and sandstorm still applies during the immune turn.

The user may be hit during its immune turn if under the effect of lock on, mind reader, or no guard.

This move cannot be used while gravity is in effect.

This move cannot be selected by sleep talk.","User flies high into the air, dodging all attacks, and hits next turn.",
20,bind,85.0,15.0,normal,20,100.0,0,physical,generation-i,"Inflicts regular damage.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.

rapid spin cancels this effect.",Prevents the target from fleeing and inflicts damage for 2-5 turns.,
21,slam,75.0,80.0,normal,20,,0,physical,generation-i,Inflicts regular damage.,Inflicts regular damage with no additional effect.,
22,vine-whip,100.0,45.0,grass,25,,0,physical,generation-i,Inflicts regular damage.,Inflicts regular damage with no additional effect.,
23,stomp,100.0,65.0,normal,20,30.0,0,physical,generation-i,"Inflicts regular damage.  Has a 30% chance to make the target flinch.

Power is doubled against Pokémon that have used minimize since entering the field.",Has a 30% chance to make the target flinch.,
24,double-kick,100.0,30.0,fighting,30,,0,physical,generation-i,Inflicts regular damage.  Hits twice in one turn.,Hits twice in one turn.,
25,mega-kick,75.0,120.0,normal,5,,0,physical,generation-i,Inflicts regular damage.,Inflicts regular damage with no additional effect.,
